INFO 2012-01-19 13:29:34,948 Importing Organizations into database from 1 pages
INFO 2012-01-19 13:32:10,299 282609615107962: Imported successfully as Jill Sobule 2/14 at Club Cafe
INFO 2012-01-19 13:32:10,299 367442133273233: Imported successfully as The Substitutions / Brewer's Row 2/11 at Club Cafe
INFO 2012-01-19 13:32:10,299 228650223877938: Imported successfully as Dazzletine 2/11 at Brillobox
INFO 2012-01-19 13:32:10,300 209459135801556: Imported successfully as Karl Denson's Tiny Universe performs 'Sticky Fingers' 2/11 at Mr. Smalls
INFO 2012-01-19 13:32:10,300 338672092818671: Imported successfully as Teresa Hawthorne / Comedian David 'The Frog' Bey 2/11 at Club Cafe
INFO 2012-01-19 13:32:10,300 270796159650483: Imported successfully as OPEK 2/10 at Club Cafe
INFO 2012-01-19 13:32:10,300 346986598664231: Imported successfully as Donora / TeamMate 2/10 at Brillobox
INFO 2012-01-19 13:32:10,300 247894808598700: Imported successfully as Blind Pilot 2/10 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,300 255156134550311: Imported successfully as Scott Blasey 2/10 at Club Cafe
INFO 2012-01-19 13:32:10,300 209630402456068: Imported successfully as Jenny Owen Youngs 2/7 at Brillobox
INFO 2012-01-19 13:32:10,300 146123232162831: Imported successfully as The Kalob Griffin Band 2/4 at Club Cafe
INFO 2012-01-19 13:32:10,301 157417234363701: Imported successfully as Shalerpalooza - Concert For Class Funds 2/4 at Mr. Smalls
INFO 2012-01-19 13:32:10,301 184248831671921: Imported successfully as Mike Stout 2/4 at Club Cafe
INFO 2012-01-19 13:32:10,301 309512179071931: Imported successfully as Caleb Pogyor 2/3 at Club Cafe
INFO 2012-01-19 13:32:10,301 210594319023831: Imported successfully as Ben Hackett CD Release Show 2/3 at Club Cafe
INFO 2012-01-19 13:32:10,301 223563601041591: Imported successfully as The Andreas Kapsalis & Goran Ivanovic Guitar Duo 2/2 at Club Cafe
INFO 2012-01-19 13:32:10,301 232365580164618: Imported successfully as Ingram Hill 1/31 at Club Cafe
INFO 2012-01-19 13:32:10,301 325483610812727: Imported successfully as Of An Empire (CD Release Show) 1/28 at Club Cafe
INFO 2012-01-19 13:32:10,301 132796983500810: Imported successfully as Callán 1/28 at Club Cafe
INFO 2012-01-19 13:32:10,302 321157061246902: Imported successfully as The Turpentiners / Dare Dukes / Emily Rodgers 1/27 at Club Cafe
INFO 2012-01-19 13:32:10,302 280912675283929: Imported successfully as Pete Bush & The Hoi Polloi / Yellow Light Maybe 1/27 at Brillobox
INFO 2012-01-19 13:32:10,302 335375883145839: Imported successfully as See-I (members of Thievery Corp live band) 1/27 at Mr. Smalls
INFO 2012-01-19 13:32:10,302 298511470191972: Imported successfully as Hawksbill Crossing 1/27 at Club Cafe
INFO 2012-01-19 13:32:10,302 271918246186430: Imported successfully as Carbon Leaf 1/27 at Club Cafe
INFO 2012-01-19 13:32:10,302 119178631525714: Imported successfully as Jaymay 1/25 at Club Cafe
INFO 2012-01-19 13:32:10,302 278108148903439: Imported successfully as Le Cachot 1/21 at Club Cafe
INFO 2012-01-19 13:32:10,303 271637759544434: Imported successfully as 91.3fm WYEP presents J.J. Grey & Mofro 1/21 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,303 307292365969563: Imported successfully as Matt Wohlfarth presents Comic Wars! 1/21 at Club Cafe
INFO 2012-01-19 13:32:10,303 288087281231633: Imported successfully as Falling Andes 1/20 at Club Cafe
INFO 2012-01-19 13:32:10,303 248232708574146: Imported successfully as Chet Vincent & the Big Bend 1/20 at Brillobox
INFO 2012-01-19 13:32:10,341 184691918282138: Imported successfully as Jeffrey Gaines 1/20 at Club Cafe
INFO 2012-01-19 13:32:10,341 271164776263999: Imported successfully as Hospitality 1/17 at Brillobox
INFO 2012-01-19 13:32:10,341 333916083288881: Imported successfully as A Cursive Tribute Show - 'The Ugly Organ' 1/14 at Club Cafe
INFO 2012-01-19 13:32:10,342 189432717797716: Imported successfully as 91.3fm WYEP presents Keller Williams 1/14 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,342 276805895693394: Imported successfully as An Evening with Jason Walker 1/14 at Club Cafe
INFO 2012-01-19 13:32:10,342 186976298058386: Imported successfully as The Hawkeyes / The Velcro Shoes 1/13 at Club Cafe
INFO 2012-01-19 13:32:10,342 303423326336376: Imported successfully as Satin Gum, The Winter Sounds, Triggers 1/13 at Brillobox
INFO 2012-01-19 13:32:10,342 159093044188345: Imported successfully as Jeffrey Foucault 1/13 at Club Cafe
INFO 2012-01-19 13:32:10,342 162751757152657: Imported successfully as Chris Smither / Ellis Paul 1/12 at Club Cafe
INFO 2012-01-19 13:32:10,342 193288684083860: Imported successfully as 91.3fm WYEP presents G. Love & Special Sauce 1/12 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,342 180436965380651: Imported successfully as The Steel City Comedy Tour 1/7 at Club Cafe
INFO 2012-01-19 13:32:10,354 309667165719923: Imported successfully as 1,2,3 / Meeting Of Important People 1/7/12 at Brillobox
INFO 2012-01-19 13:32:10,354 171754189589292: Imported successfully as Maubus, The Park View & more 1/7 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,354 319283908084989: Imported successfully as Neon Swing X-Perience 1/7 at Club Cafe
INFO 2012-01-19 13:32:10,355 307397019271899: Imported successfully as Red Wanting Blue 1/6 at Club Cafe
INFO 2012-01-19 13:32:10,355 213394232072264: Imported successfully as The Crystal Uranium Laser Tree + More 1/6 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,355 277000902338958: Imported successfully as An Evening with Richard Shindell
INFO 2012-01-19 13:32:10,355 257348920988220: Imported successfully as Carrie Rodriguez & Luke Jacobs 1/4 at Club Cafe
INFO 2012-01-19 13:32:10,355 315338761811379: Imported successfully as The Poogie Bell Band 12/31 at Club Cafe
INFO 2012-01-19 13:32:10,355 264880136898854: Imported successfully as Mr. Smalls 10th Anniversary 2012 New Years Eve Celebration
INFO 2012-01-19 13:32:10,355 156557387776409: Imported successfully as The Holiday Brew ft. Black Coffee 12/30 at Club Cafe
INFO 2012-01-19 13:32:10,355 121426267969415: Imported successfully as The 5th Annual Holiday HA-HA 12/30 at Club Cafe
INFO 2012-01-19 13:32:10,356 197518256999717: Imported successfully as Civil Riot, Bad Acid, This Side Up + more 12/30 at Mr. Smalls
INFO 2012-01-19 13:32:10,356 145897192178123: Imported successfully as Cry Fire 12/29 at Club Cafe
INFO 2012-01-19 13:32:10,356 287628977922996: Imported successfully as Bill Deasy's Annual Boxing Day Show 12/28 at Club Cafe
INFO 2012-01-19 13:32:10,356 256943944354382: Imported successfully as The Fields 12/27 at Club Cafe
INFO 2012-01-19 13:32:10,356 186905361393254: Imported successfully as An Evening with Josh White Jr. 12/23 at Club Cafe
INFO 2012-01-19 13:32:10,356 282611931783510: Imported successfully as Mike Medved 12/22 at Club Cafe
INFO 2012-01-19 13:32:10,356 225743954153355: Imported successfully as Protest The Hero 12/22 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,356 303494356344308: Imported successfully as 91.3fm WYEP presents Ximena Sarinana 12/18 at Club Cafe
INFO 2012-01-19 13:32:10,357 133154523454967: Imported successfully as Slim & George Cessna 12/17 at Club Cafe
INFO 2012-01-19 13:32:10,357 278051515546684: Imported successfully as Me Talk Pretty 12/17 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,357 273238166050651: Imported successfully as The 7th Annual Ugly Sweater Show 12/16 at Club Cafe
INFO 2012-01-19 13:32:10,357 213044315435136: Imported successfully as The Gemini Projekt CD Release Party 12/16 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,357 237487869646696: Imported successfully as The David Mayfield Parade 12/14 at Brillobox
INFO 2012-01-19 13:32:10,357 168216289933050: Imported successfully as Cory Branan (Lucero) / Dave Hause (The Loved Ones) 12/14 at Club Cafe
INFO 2012-01-19 13:32:10,357 280229955350390: Imported successfully as F*ck That! Erin McKeown's Anti-Holiday Show 12/11 at Club Cafe
INFO 2012-01-19 13:32:10,358 222119581155892: Imported successfully as 91.3fm WYEP Presents City and Colour 12/11 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,358 146396252127705: Imported successfully as Spendida Viva: A Christmas Journey by Sugar Daddy & the Big Boned Girls
INFO 2012-01-19 13:32:10,358 211011502301558: Imported successfully as Steel City Slam presents 'Words with Benefits' 12/9 at Club Cafe
INFO 2012-01-19 13:32:10,358 265829006788009: Imported successfully as The Red Western (CD Release Party) 12/9 at Brillobox
INFO 2012-01-19 13:32:10,358 124032644370600: Imported successfully as 91.3fm WYEP presents Diego Garcia 12/9 at Club Cafe
INFO 2012-01-19 13:32:10,358 175653862518395: Imported successfully as Karkwa 12/7 at Brillobox
INFO 2012-01-19 13:32:10,358 249478058442291: Imported successfully as Carla Bianco and Her Band 12/7 at Club Cafe
INFO 2012-01-19 13:32:10,358 131979960236820: Imported successfully as Clap Your Hands Say Yeah 12/6 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,359 241074412615531: Imported successfully as An Evening with Darrell Scott 12/6 at Club Cafe
INFO 2012-01-19 13:32:10,359 151838634911682: Imported successfully as The String Cheese Incident 12/6 at Stage AE
INFO 2012-01-19 13:32:10,359 206998182697371: Imported successfully as 91.3fm WYEP presents Jukebox The Ghost 12/4 at Brillobox
INFO 2012-01-19 13:32:10,359 102986319816698: Imported successfully as Donora 12/3 at Brillobox
INFO 2012-01-19 13:32:10,359 182184041855652: Imported successfully as Avey Tare 12/3 at Club Cafe
INFO 2012-01-19 13:32:10,359 241671545890558: Imported successfully as Parry Adams 12/2 at Club Cafe
INFO 2012-01-19 13:32:10,359 115226758585378: Imported successfully as Chris Cornell 12/2 at Carnegie Music Hall of Oakland
INFO 2012-01-19 13:32:10,359 192727394135328: Imported successfully as Christopher Mark Jones & Band 12/2 at Club Cafe
INFO 2012-01-19 13:32:10,359 169232666497131: Imported successfully as SOLD OUT - Raul Malo Christmas Show 12/1 at Club Cafe
INFO 2012-01-19 13:32:10,360 Imported 122 new Events
