INFO 2012-01-18 22:58:31,446 Searching 23890 pages for events.
INFO 2012-01-18 22:58:33,565 Importing events for Facebook page 120825234601074
INFO 2012-01-18 22:58:33,565 Importing events for Facebook page 117220594970946
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 187139911328701
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 162866220417016
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 137423672962263
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 136715426370580
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 119927858024463
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 186807321330038
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 171128159571410
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 111618085543882
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 123822507673358
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 228348080524714
INFO 2012-01-18 22:58:33,566 Importing events for Facebook page 149816418414032
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 161921927207293
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 181183455283526
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 115652561836934
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 251331174880763
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 186609501388014
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 198856626829356
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 120453737969935
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 190900254268494
INFO 2012-01-18 22:58:33,567 Importing events for Facebook page 122161921178202
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 121046987910817
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 178579925508282
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 104971079546385
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 145350382161040
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 102946003114681
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 137209203039979
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 145307198834011
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 117112251639907
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 108118205897137
INFO 2012-01-18 22:58:33,568 Importing events for Facebook page 152587291434691
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 177803935580901
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 152695441435026
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 119820958034073
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 104910059553010
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 108167689225619
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 128349150544158
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 156413744405900
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 131854533549683
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 156705681012849
INFO 2012-01-18 22:58:33,569 Importing events for Facebook page 159087057460580
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 199313473438118
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 117145308386861
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 135481663163004
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 125817690802036
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 116314358392567
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 156087634414879
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 149551051777483
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 211102258952503
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 111543832218543
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 128037463962845
INFO 2012-01-18 22:58:33,570 Importing events for Facebook page 295713288322
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 111528055554226
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 137957389592481
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 159333017472651
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 112053765543023
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 139601679411217
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 165488413477643
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 174055605975383
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 204366979592443
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 143902075669173
INFO 2012-01-18 22:58:33,571 Importing events for Facebook page 143946358972255
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 121548681192225
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 222367011172478
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 208333865846043
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 264825216905686
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 158107324209529
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 140774012658498
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 116952831652060
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 284282578254169
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 205601699478804
INFO 2012-01-18 22:58:33,572 Importing events for Facebook page 157385354281155
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 121706124507038
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 178259438875720
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 124043977643682
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 142071665828814
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 194029710677038
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 112102898865189
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 100896659954827
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 177483835622113
INFO 2012-01-18 22:58:33,573 Importing events for Facebook page 152429198108576
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 120579141288608
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 130802130287924
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 117017621651427
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 123974537658273
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 171167346270256
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 150658244946024
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 121587861185220
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 270567764926
INFO 2012-01-18 22:58:33,574 Importing events for Facebook page 39206713055
INFO 2012-01-18 22:58:34,567 Importing events for Facebook page 91482879432
INFO 2012-01-18 22:58:34,567 303734866315202: Imported successfully as Senior Portfolio Show
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 244537765564447
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 245038728870733
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 157965117579095
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 131681100224615
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 114137681950447
INFO 2012-01-18 22:58:34,568 Importing events for Facebook page 126059594135160
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 148612675156925
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 262676364346
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 110107962387825
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 147599408653828
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 328690830062
INFO 2012-01-18 22:58:34,569 Importing events for Facebook page 100493556677912
INFO 2012-01-18 22:58:34,570 Importing events for Facebook page 135963609830092
INFO 2012-01-18 22:58:34,570 Importing events for Facebook page 104907179552404
INFO 2012-01-18 22:58:40,766 Importing events for Facebook page 115642488458218
INFO 2012-01-18 22:58:40,766 183531365075946: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,766 308827545807447: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,767 256355974426932: Imported successfully as How to Hold Yourself and Others Accountable For Results
INFO 2012-01-18 22:58:40,767 174410119323071: Imported successfully as Creating a Professional Demeanor
INFO 2012-01-18 22:58:40,767 208922962523211: Imported successfully as The Sales Advantage
INFO 2012-01-18 22:58:40,767 318615548156804: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,767 257575354304925: Imported successfully as How to Turn Sales Objections Into Selling Opportunities
INFO 2012-01-18 22:58:40,767 160532224048213: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,767 262682093793074: Imported successfully as High Impact Presentations
INFO 2012-01-18 22:58:40,767 204545102964787: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,768 198868286868000: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,768 267234993334078: Imported successfully as The Dale Carnegie Course: Skills for Success
INFO 2012-01-18 22:58:40,768 Importing events for Facebook page 120903937922354
INFO 2012-01-18 22:58:40,768 Importing events for Facebook page 120824514599442
INFO 2012-01-18 22:58:40,768 Importing events for Facebook page 140433432673068
INFO 2012-01-18 22:58:40,768 Importing events for Facebook page 96494984074
INFO 2012-01-18 22:58:40,768 Importing events for Facebook page 100859436625686
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 113908488641102
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 166497970057051
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 113571105344293
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 122827324412158
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 105004672876287
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 143454205723437
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 111423888890437
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 156369719178
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 115756725120585
INFO 2012-01-18 22:58:40,769 Importing events for Facebook page 151150094898496
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 82448038638
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 147461858608394
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 259762407371830
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 220557884627758
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 120881467924596
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 100851546625897
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 120251721324647
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 142187909140677
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 140769842630411
INFO 2012-01-18 22:58:40,770 Importing events for Facebook page 142712869109186
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 232665076758933
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 126421764084997
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 106769412725915
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 188973034447251
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 176848845732108
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 106192336105351
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 111729708864882
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 113386558694162
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 157252321010159
INFO 2012-01-18 22:58:40,771 Importing events for Facebook page 32767836552
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 108091512552068
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 141443982558835
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 126920407355386
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 155821287764249
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 153798894634245
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 134689816607883
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 175373772505575
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 167627446619362
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 167583323266870
INFO 2012-01-18 22:58:40,772 Importing events for Facebook page 302969886382349
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 129341020445709
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 109590789107790
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 145506675480077
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 165248408846
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 107236159336978
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 143937319011844
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 185354838163222
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 120155387996288
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 102695666474191
INFO 2012-01-18 22:58:40,773 Importing events for Facebook page 120551631294055
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 183282081711202
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 152830994729502
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 131898576870934
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 151724081508056
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 63335184024
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 102633283157051
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 120515757959867
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 248094078534826
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 203232976364697
INFO 2012-01-18 22:58:40,774 Importing events for Facebook page 104955099548252
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 167805203266688
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 166295613396365
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 140095156030419
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 145796638775157
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 250768844952446
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 117654981594339
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 194451753932633
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 161478587227554
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 175588025804975
INFO 2012-01-18 22:58:40,775 Importing events for Facebook page 113920711971803
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 102375646482494
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 167908139934384
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 284064528277200
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 120320251317335
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 130438343644137
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 114684111881007
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 370077475586
INFO 2012-01-18 22:58:40,776 Importing events for Facebook page 134193296633864
INFO 2012-01-18 22:58:40,777 Importing events for Facebook page 178320395547857
INFO 2012-01-18 22:58:40,777 Importing events for Facebook page 149570167308
INFO 2012-01-18 22:58:41,121 Importing events for Facebook page 195397387167296
INFO 2012-01-18 22:58:41,122 356749857674533: Imported successfully as Celebration of a Life
INFO 2012-01-18 22:58:41,122 Importing events for Facebook page 115894038431614
INFO 2012-01-18 22:58:41,123 Importing events for Facebook page 148458441846034
INFO 2012-01-18 22:58:41,124 Importing events for Facebook page 125459387498649
INFO 2012-01-18 22:58:41,124 Importing events for Facebook page 136491889759550
INFO 2012-01-18 22:58:41,125 Importing events for Facebook page 161330583954429
INFO 2012-01-18 22:58:41,521 Importing events for Facebook page 138514179535384
INFO 2012-01-18 22:58:41,521 267168023330673: Imported successfully as Hey Kids!
INFO 2012-01-18 22:58:41,521 Importing events for Facebook page 153854531293362
INFO 2012-01-18 22:58:41,521 Importing events for Facebook page 131275319256
INFO 2012-01-18 22:58:41,521 Importing events for Facebook page 152255518124602
INFO 2012-01-18 22:58:41,521 Importing events for Facebook page 147741875257105
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 126311060772411
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 116982878368559
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 181150288633488
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 102237666485449
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 221561024537121
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 255057277858934
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 120591414620575
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 145928185470668
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 144020702323176
INFO 2012-01-18 22:58:41,522 Importing events for Facebook page 242888025765417
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 186845948013085
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 121784667888585
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 153657781320725
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 109165872483391
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 276747585682103
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 186985854664583
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 130262250694
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 34546990712
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 151910648439
INFO 2012-01-18 22:58:41,523 Importing events for Facebook page 142663989120618
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 156523981045773
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 202255509815201
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 148522035176268
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 197562013597496
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 218199124868905
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 231980506846337
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 142889405726981
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 227425323964628
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 100867083291629
INFO 2012-01-18 22:58:41,524 Importing events for Facebook page 160138694048932
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 112160511771
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 114211448609902
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 143424259028044
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 143205219070328
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 213981311963014
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 220308404654858
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 186031314749195
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 249684245046170
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 180127885369416
INFO 2012-01-18 22:58:41,525 Importing events for Facebook page 184478418254548
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 139348789467505
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 113878198644169
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 193239647352950
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 139977682732847
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 120166008033623
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 167193763299724
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 118609868196921
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 156610694396310
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 128215377246845
INFO 2012-01-18 22:58:41,526 Importing events for Facebook page 144907312198525
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 207364009307413
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 214818971891480
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 116069371748726
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 126200344129414
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 167074176678880
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 116128205078019
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 113228848692514
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 150839504947647
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 117289278290208
INFO 2012-01-18 22:58:41,527 Importing events for Facebook page 130213747040549
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 239675519385451
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 120474217965667
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 104977172878649
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 111764812194541
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 180902858642568
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 149345171788539
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 122182021164163
INFO 2012-01-18 22:58:41,528 Importing events for Facebook page 195980203767307
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 119442608108558
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 215883915110642
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 197008483651566
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 116080838420921
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 123165487735685
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 113673298665674
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 152762014736625
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 171269079562658
INFO 2012-01-18 22:58:41,529 Importing events for Facebook page 241912929168441
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 134704143276634
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 7133766387
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 113206472040959
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 109285682463063
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 246747995358891
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 160979356395
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 110895165661034
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 126247687443500
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 117360728282716
INFO 2012-01-18 22:58:41,530 Importing events for Facebook page 117109221641993
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 100861466624993
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 135686666524443
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 88731100414
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 197410303634389
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 138169599541277
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 141542175885536
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 176219525728075
INFO 2012-01-18 22:58:41,531 Importing events for Facebook page 181379998559985
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 140091712718398
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 150985594918253
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 116266365122506
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 134937769883320
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 295134029152
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 122092017885831
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 166807136693097
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 218312898227069
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 157464394315097
INFO 2012-01-18 22:58:41,532 Importing events for Facebook page 216727341684096
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 161777667170597
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 119812341403652
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 123168454430695
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 106149252774801
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 144154445644666
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 154782974610049
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 128999123791195
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 113820838651034
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 141511282556066
INFO 2012-01-18 22:58:41,533 Importing events for Facebook page 134875564168
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 308245892524654
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 125923457477247
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 181178868593987
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 222082444476831
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 199705890051455
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 212424317844
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 144886528875709
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 161796890542622
INFO 2012-01-18 22:58:41,534 Importing events for Facebook page 306414439514
INFO 2012-01-18 22:58:41,535 Importing events for Facebook page 232114703471616
INFO 2012-01-18 22:58:41,535 Importing events for Facebook page 210976735601165
INFO 2012-01-18 22:58:41,535 Importing events for Facebook page 203025956399145
